layer,neuron,specialization_ratio,virtue_activation,neutral_activation,difference,effect_size,t_statistic,virtue_std,neutral_std
4,413,5.310482978820801,0.19780099391937256,-0.037247270345687866,0.23504826426506042,1.5182064771652222,7.374518394470215,0.1704133301973343,0.13746841251850128
4,669,1.2390813827514648,0.14612382650375366,-0.11792916059494019,0.26405298709869385,1.5025156736373901,7.393142223358154,0.15702255070209503,0.19264844059944153
4,125,0.3134182095527649,0.050367504358291626,-0.16070382297039032,0.21107132732868195,1.4855214357376099,7.293192386627197,0.13246417045593262,0.15109573304653168
4,539,5.11563777923584,-0.2167084515094757,0.04236195981502533,-0.25907041132450104,1.480526089668274,7.235292911529541,0.17637036740779877,0.173589289188385
4,632,0.21602168679237366,-0.053650759160518646,0.24835820496082306,-0.3020089641213417,1.4747668504714966,7.266906261444092,0.17776964604854584,0.22862868010997772
5,446,2.186176300048828,0.32873398065567017,-0.15036937594413757,0.47910335659980774,2.5928919315338135,12.775903701782227,0.16054663062095642,0.20617680251598358
5,132,2.061600685119629,0.2529296576976776,-0.12268605083227158,0.3756157085299492,2.4703409671783447,12.079578399658203,0.1518302708864212,0.15226967632770538
5,669,4.58913516998291,0.32304832339286804,-0.07039415836334229,0.3934424817562103,2.1327803134918213,10.511155128479004,0.15953509509563446,0.20642153918743134
5,544,0.7638713121414185,-0.16354264318943024,0.21409711241722107,-0.3776397556066513,2.0948731899261475,10.275310516357422,0.17087747156620026,0.18919403851032257
5,606,10.242884635925293,-0.32895219326019287,0.03211519122123718,-0.36106738448143005,2.022481679916382,9.90406608581543,0.17404931783676147,0.18289487063884735
5,714,0.18896709382534027,-0.0531170591711998,0.281091570854187,-0.3342086300253868,1.9776476621627808,9.637238502502441,0.17783191800117493,0.1596655249595642
5,592,8.866325378417969,0.37310662865638733,0.0420813150703907,0.33102531358599663,1.9007798433303833,9.313271522521973,0.16819354891777039,0.17991387844085693
5,212,1.2421958446502686,0.20362049341201782,-0.16391980648040771,0.36754029989242554,1.8870253562927246,9.240175247192383,0.19008105993270874,0.1993531733751297
5,316,4.485991954803467,-0.28973206877708435,0.06458595395088196,-0.3543180227279663,1.8658496141433716,9.213236808776855,0.1574798971414566,0.2175346314907074
5,262,0.06018669158220291,0.016937024891376495,-0.2814081311225891,0.2983451560139656,1.8537088632583618,9.17785930633545,0.12506578862667084,0.1901712715625763
6,554,4.363013744354248,-0.37236616015434265,0.08534608781337738,-0.45771224796772003,2.438368082046509,11.941934585571289,0.18267549574375153,0.19261783361434937
6,354,0.2967758774757385,-0.06536451727151871,0.2202487587928772,-0.2856132760643959,1.848978877067566,9.077374458312988,0.14407390356063843,0.1642107367515564
6,64,1.3974475860595703,-0.2520884573459625,-0.1803920716047287,-0.07169638574123383,1.660377025604248,8.261922836303711,0.028912998735904694,0.0537884496152401
6,246,0.01613279990851879,-0.005018489435315132,-0.3110736906528473,0.30605520121753216,1.6413239240646362,7.992816925048828,0.19817252457141876,0.1739788055419922
6,117,5.000941276550293,-0.25215402245521545,0.05042131245136261,-0.30257533490657806,1.5900285243988037,7.849235534667969,0.15874618291854858,0.21731184422969818
6,96,0.008432217873632908,-0.00258825090713799,-0.30694782733917236,0.3043595764320344,1.5863690376281738,7.830264091491699,0.1604681760072708,0.2187919169664383
6,255,8.875720024108887,0.33721908926963806,-0.03799343481659889,0.37521252408623695,1.572527289390564,7.689811706542969,0.23806051909923553,0.23914776742458344
6,495,2.0476741790771484,0.21057714521884918,-0.1028372272849083,0.3134143725037575,1.5525283813476562,7.59535026550293,0.19998706877231598,0.20374247431755066
6,298,0.20765355229377747,-0.05511847510933876,0.26543477177619934,-0.3205532468855381,1.5511529445648193,7.616379737854004,0.1922132968902588,0.22015103697776794
6,7,0.42733266949653625,0.1044921800494194,-0.2445218563079834,0.3490140363574028,1.5445212125778198,7.492495059967041,0.25306710600852966,0.19514375925064087
7,554,0.9745175242424011,-0.2752363383769989,0.2824334502220154,-0.5576697885990143,2.215665102005005,10.872282981872559,0.2368326485157013,0.26572558283805847
7,110,0.7953730225563049,-0.20067986845970154,0.252309113740921,-0.45298898220062256,2.0197951793670654,9.83077621459961,0.24011015892028809,0.20723272860050201
7,337,3.331265687942505,0.2676905393600464,-0.08035700768232346,0.34804754704236984,1.9011317491531372,9.254752159118652,0.1955411583185196,0.16969305276870728
7,731,14.204493522644043,-0.44939008355140686,-0.031637176871299744,-0.4177529066801071,1.8434321880340576,9.039271354675293,0.21595513820648193,0.23679910600185394
7,175,0.8717854619026184,-0.2540842890739441,0.2914527654647827,-0.5455370545387268,1.8024189472198486,8.837989807128906,0.2885281443595886,0.3161788284778595
7,311,0.6810863018035889,0.1255148947238922,-0.18428632616996765,0.30980122089385986,1.7928060293197632,8.798321723937988,0.16226337850093842,0.18273460865020752
7,3,2.724640130996704,0.23978500068187714,-0.08800611644983292,0.32779111713171005,1.785520076751709,8.761517524719238,0.17275771498680115,0.1938045173883438
7,102,0.26069533824920654,-0.08147481828927994,0.3125288486480713,-0.3940036669373512,1.690022349357605,8.393468856811523,0.16603294014930725,0.2848457098007202
7,13,8.022459030151367,0.3488231301307678,-0.043480824679136276,0.3923039548099041,1.6826937198638916,8.20706844329834,0.24220065772533417,0.22371354699134827
7,205,0.7587419748306274,0.14729498326778412,-0.1941305249929428,0.34142550826072693,1.6533812284469604,8.055583953857422,0.21788139641284943,0.19445648789405823
8,107,0.09033972024917603,-0.0451357364654541,0.49962225556373596,-0.5447579920291901,2.3938095569610596,11.784749984741211,0.20127739012241364,0.25112372636795044
8,408,5.734963417053223,0.8829793334007263,0.15396425127983093,0.7290150821208954,2.098703145980835,10.392162322998047,0.26904311776161194,0.41102319955825806
8,314,2.335527181625366,-1.7582777738571167,-0.7528398036956787,-1.005437970161438,2.0246517658233643,9.91745376586914,0.48187634348869324,0.5108956098556519
8,568,5.835489273071289,-0.42666494846343994,0.07311554253101349,-0.49978049099445343,1.9931775331497192,9.802517890930176,0.2262590229511261,0.27304497361183167
8,393,6.830955982208252,0.26888343691825867,0.03936249017715454,0.22952094674110413,1.8792589902877808,9.152864456176758,0.1295223832130432,0.11426834762096405
8,385,7.330776214599609,0.38035666942596436,-0.051884911954402924,0.4322415813803673,1.8246196508407593,8.949800491333008,0.22451891005039215,0.2486540824174881
8,173,3.3505606651306152,0.3180549442768097,-0.0949258878827095,0.4129808321595192,1.7818602323532104,8.815020561218262,0.18381868302822113,0.2713758945465088
8,725,1.1729248762130737,-0.2610121965408325,0.2225310504436493,-0.4835432469844818,1.7324508428573608,8.582696914672852,0.21346938610076904,0.3320164084434509
8,669,2.2281761169433594,0.2967647910118103,-0.13318730890750885,0.42995209991931915,1.6662508249282837,8.226726531982422,0.2145368456840515,0.2951926589012146
8,167,4.9661736488342285,-0.23968537151813507,0.04826359078288078,-0.28794896230101585,1.6597819328308105,8.183500289916992,0.148690328001976,0.1951562911272049
9,762,3.733499050140381,0.975968062877655,0.26140841841697693,0.7145596444606781,2.257472515106201,11.129164695739746,0.2719321548938751,0.35557907819747925
9,763,2.1538143157958984,-0.5972246527671814,0.27728697657585144,-0.8745116293430328,2.0895612239837646,10.18781852722168,0.4371136426925659,0.3990493416786194
9,26,4.0347819328308105,-0.539023756980896,0.13359427452087402,-0.67261803150177,1.951030969619751,9.499268531799316,0.36734655499458313,0.3205646872520447
9,17,1.5506298542022705,-0.3395405113697052,0.2189694195985794,-0.5585099309682846,1.891148567199707,9.27999210357666,0.27782976627349854,0.3118467330932617
9,722,0.04262668266892433,0.027045803144574165,0.6344805955886841,-0.6074347924441099,1.8584691286087036,9.178306579589844,0.270031213760376,0.3751544654369354
9,746,30.786056518554688,-0.49848639965057373,0.016191953793168068,-0.5146783534437418,1.7332570552825928,8.537073135375977,0.2599971294403076,0.3297751843929291
9,540,19.65277862548828,0.7032806277275085,-0.03578530251979828,0.7390659302473068,1.69373619556427,8.276991844177246,0.44001904129981995,0.43265479803085327
9,655,0.8271177411079407,-0.26971909403800964,0.3260951638221741,-0.5958142578601837,1.6751418113708496,8.267739295959473,0.29805368185043335,0.4051917493343353
9,314,2.1670641899108887,-1.9924753904342651,-0.9194353818893433,-1.0730400085449219,1.663860559463501,8.218008995056152,0.5316066741943359,0.7410881519317627
9,449,2.220036029815674,0.35202300548553467,-0.15856635570526123,0.5105893611907959,1.6158751249313354,7.8745527267456055,0.3323499858379364,0.29872095584869385
10,567,3.449723243713379,-1.1921064853668213,-0.3455658257007599,-0.8465406596660614,1.9572508335113525,9.753079414367676,0.27499920129776,0.5463645458221436
